Razão,Rua,Numero,Latitude,Longitude
UNIAO CM ADMINISTRACAO E EMPREENDIMENTOS LTDA,ENG GUARACY TORRES,416,-23.7621165,-46.6617043
48 SP CATANDUVA MARTINHO INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
MR CONSTRUTORA E INCORPORADORA LTDA,BR DE LIMEIRA,89,-23.5397644,-46.6435125
VIEWCO 26 EMPREENDIMENTO LTDA,FUNCHAL,411,-23.5945069,-46.6895385
CEIRY DOMICIO DA GAMA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
MARANATA EMPREENDIMENTO IMOBILIARIO SPE LTDA,FABIO JOSE BEZERRA,613,-23.5058831,-46.4826389
MOS CONSULTORIA, EMPREENDIMENTOS E PARTICIPACOES LTDA,DOS IRIS,117,-23.6049914,-46.638843
JBP CONSTRUTORA E INCORPORADORA LTDA,JULIO COLACO,143,-23.5350818,-46.5434536
BENTA PEREIRA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,AUGUSTO TOLLE,771,-23.4868576,-46.6333306
ALTOS DE BELEM EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,HUNGRIA,888,-23.5796047,-46.6933243
CABRERA MOLNAR INCORPORADORA LTDA,ZAKIE SAUDA,59,-23.6229253,-46.6432533
MS EMPREENDIMENTOS IMOBILIARIOS LTDA,MARIUS,261,-23.5767185,-46.5671027
POUSO ALEGRE INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
CAMPINA GRANDE INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
ITAJUBA INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
CRICIUMA INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
BELO VALE INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
ESQUADRO INCORPORADORA - EIRELI,JOAO FERREIRA DE ABREU,144,-23.6835601,-46.682993
SAO TOME INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
GLB BRASIL 07 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
GLB BRASIL 11 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
